NGC 1052,MCG -1-7-34,40.2704,-8.2561,.E.4...,1.48,1.05,11.48,13.41,368, 1485,ELLIPTICAL GALAXY
A 1556+26,MCG 5-38-6,239.6821,26.8142,.E?....,0.9,0.37,14.76,14.09,153, 4414,ELLIPTICAL GALAXY
NGC 680,UGC 1286,27.4475,21.9706,.E+..P*,1.29,0.68,12.82,14.11,437, 2914,ELLIPTICAL GALAXY
NGC 5638,UGC 9308,217.4187,3.2344,.E.1...,1.43,0.97,12.14,14.15,159, 1806,ELLIPTICAL GALAXY
NGC 5846,UGC 9706,226.6225,1.6069,.E.0+..,1.61,1.32,11.2,14,416, 1793,ELLIPTICAL GALAXY
NGC 4374,UGC 7494,186.2654,12.8875,.E.1...,1.81,1.23,10.29,13.98,286,  902,ELLIPTICAL GALAXY
NGC 3904,ESO 440-13,177.3054,-29.2764,.E.2+*.,1.43,0.91,11.87,13.63,547, 1363,ELLIPTICAL GALAXY
A 1216+04,UGC 7354,184.7908,3.8578,.E...P*,0.83,0.72,14.66,12.94, 79, 1443,ELLIPTICAL GALAXY
NGC 1587,UGC 3063,67.665,0.6619,.E...P.,1.23,0.89,12.98,13.7,498, 3641,ELLIPTICAL GALAXY
NGC 4472,UGC 7629,187.4437,7.9994,.E.2...,2.01,1.54, 9.30,14.2,430,  846,ELLIPTICAL GALAXY
NGC 7468,UGC 12329,345.7471,16.6028,.E.3.*P,0.96,0.34,13.92,13.49,209, 2271,ELLIPTICAL GALAXY
NGC 7562,UGC 12464,348.9892,6.6875,.E.2+..,1.35,0.88,12.68,13.9,223, 3686,ELLIPTICAL GALAXY
NGC 4636,UGC 7878,190.7075,2.6881,.E.0+..,1.78,1.47,10.59,14.05,767,  941,ELLIPTICAL GALAXY
NGC 3962,MCG -2-30-40,178.6658,-13.9731,.E.1...,1.41,1.07,11.78,13.49,336, 1667,ELLIPTICAL GALAXY
NGC 2974,MCG 0-25-8,145.6387,-3.6997,.E.4...,1.54,0.91,11.94,13.98,232, 1893,ELLIPTICAL GALAXY
IC 3475,UGC 7692,188.1717,12.7725,.E...*.,1.24,1.16,14.24,14.89, 74, 2532,ELLIPTICAL GALAXY
NGC 4105,ESO 440-54,181.6696,-29.7617,.E.3...,1.43,1.06,11.63,13.44,201, 1688,ELLIPTICAL GALAXY
NGC 4278,UGC 7386,185.03,29.2797,.E.1+..,1.61,1.06,11.09,14.04,417,  647,ELLIPTICAL GALAXY
