name      ,alt_name_1   ,ra        ,dec      ,morph_type,log_d25,log_ae,phot_mag,surf_brtness_d25,h_21cm_w20,radial_velocity_gsr,class            
A 1244+26 ,MCG 5-30-79  ,12 46 55.5,+26 33 52,.E+..*.   ,0.69,      ,15.5,                ,          ,862,ELLIPTICAL GALAXY
          ,MCG -1-25-6  ,09 36 12.5,-08 26 05,.E+..?.   ,1.25,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 4739  ,MCG -1-33-29 ,12 51 37.2,-08 24 37,.E+..P*   ,1.21,      ,        ,                ,          ,3654,ELLIPTICAL GALAXY
          ,             ,00 39 11.1,-08 24 01,.E?....   ,       ,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,UGC 1503     ,02 01 19.8,+33 19 47,.E.....   ,0.83,      ,14.39,                ,289,5211,ELLIPTICAL GALAXY
NGC 4842B ,MCG 5-31-31  ,12 57 36.7,+27 29 06,.E.3.*.   ,0.42,      ,        ,                ,          ,7496,ELLIPTICAL GALAXY
NGC 4842A ,MCG 5-31-30  ,12 57 36.1,+27 29 36,.E.0...   ,0.6,      ,        ,                ,          ,7308,ELLIPTICAL GALAXY
NGC 4839  ,UGC 8070     ,12 57 24.3,+27 29 54,.E+....   ,1.6,1.16,12.7,15.23,          ,7398,ELLIPTICAL GALAXY
NGC 3311  ,ESO 501-38   ,10 36 43.3,-27 31 41,.E+2...   ,1.54,1.05,11.94,15.14,          ,3581,ELLIPTICAL GALAXY
NGC 3309  ,ESO 501-36   ,10 36 36.3,-27 31 05,.E.3...   ,1.27,0.98,12.23,13.78,          ,3895,ELLIPTICAL GALAXY
A 1033-27 ,             ,10 36 04.2,-27 30 32,.E+..P*   ,0.69,      ,        ,                ,          ,2176,ELLIPTICAL GALAXY
NGC 1052  ,MCG -1-7-34  ,02 41 04.9,-08 15 22,.E.4...   ,1.48,1.05,11.48,13.41,368,1485,ELLIPTICAL GALAXY
NGC 503   ,MCG 5-4-40   ,01 23 28.5,+33 19 55,.E?....   ,       ,      ,15.1,                ,          ,6123,ELLIPTICAL GALAXY
          ,MCG 5-30-110 ,12 52 00.0,+27 34 00,.E?....   ,       ,      ,15.4,                ,          ,8195,ELLIPTICAL GALAXY
NGC 4957  ,UGC 8178     ,13 05 12.6,+27 34 12,.E.3...   ,1.08,0.72,13.97,14.17,          ,6914,ELLIPTICAL GALAXY
          ,ESO 509-8    ,13 26 44.3,-27 26 21,.E?....   ,1.16,      ,13.95,                ,          ,10499,ELLIPTICAL GALAXY
NGC 5193  ,ESO 383-15   ,13 31 53.6,-33 14 07,.E...P*   ,1.27,0.95,12.61,13.73,          ,3567,ELLIPTICAL GALAXY
NGC 4840  ,MCG 5-31-29  ,12 57 32.9,+27 36 36,.E.1.*.   ,0.85,0.36,14.75,13.94,          ,5944,ELLIPTICAL GALAXY
          ,ESO 511-21   ,14 18 14.2,-27 24 55,.E?....   ,0.97,      ,14.35,                ,          ,7644,ELLIPTICAL GALAXY
IC 90     ,MCG -1-4-23  ,01 16 30.6,-07 58 39,.E+....   ,1.1,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
And II    ,             ,01 16 24.0,+33 26 00,.E?....   ,       ,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,             ,13 32 25.4,-33 08 18,.E+5...   ,1.35,      ,        ,                ,          ,                   ,ELLIPTICAL GALAXY
          ,ESO 350-15   ,00 25 31.2,-33 02 47,.E+3...   ,1.33,      ,14.23,                ,          ,14918,ELLIPTICAL GALAXY
IC 4255   ,ESO 509-20   ,13 28 00.5,-27 21 13,.E?....   ,0.94,      ,14.15,                ,          ,10042,ELLIPTICAL GALAXY
A 1556+26 ,MCG 5-38-6   ,15 58 43.7,+26 48 51,.E?....   ,0.9,0.37,14.76,14.09,153,4414,ELLIPTICAL GALAXY
A 2338+26 ,UGC 12733    ,23 40 42.0,+26 49 00,.E.....   ,0.98,      ,14.77,                ,          ,11742,ELLIPTICAL GALAXY
NGC 3847  ,UGC 6708     ,11 44 14.1,+33 30 54,.E.....   ,1.04,      ,14.27,                ,          ,9541,ELLIPTICAL GALAXY
          ,ESO 363-27   ,05 48 27.5,-32 58 41,.E+1.*.   ,1.03,      ,14.17,                ,          ,                   ,ELLIPTICAL GALAXY
NGC 326   ,UGC 601      ,00 58 18.0,+26 52 00,.E+4*P.   ,1.16,0.84,        ,15.13,          ,14284,ELLIPTICAL GALAXY
A 1247+27 ,MCG 5-30-94  ,12 49 42.0,+26 53 00,.E.1.*.   ,       ,      ,14.8,                ,          ,7406,ELLIPTICAL GALAXY
NGC 2294  ,MCG 6-15-14  ,06 51 11.3,+33 31 38,.E.6.$.   ,1.22,      ,14.5,14.9,          ,                   ,ELLIPTICAL GALAXY
NGC 2274  ,UGC 3541     ,06 47 17.3,+33 34 01,.E.....   ,1.22,      ,13.1,                ,          ,5052,ELLIPTICAL GALAXY
          ,ESO 383-76   ,13 47 29.0,-32 51 57,.E+5.*.   ,1.37,      ,13.01,                ,          ,11398,ELLIPTICAL GALAXY
IC 2196   ,UGC 3910     ,07 34 10.4,+31 24 24,.E.....   ,1.15,      ,13.72,                ,          ,4707,ELLIPTICAL GALAXY
NGC 777   ,UGC 1476     ,02 00 15.0,+31 25 46,.E.1...   ,1.39,1.06,12.34,14.2,          ,5107,ELLIPTICAL GALAXY
IC 5358   ,ESO 471-19   ,23 47 44.9,-28 08 20,.E+4.P.   ,1.4,0.79,13.4,14.64,          ,8687,ELLIPTICAL GALAXY
